type, threadCount, insertCount, time
ConcurrentList,48,250000,1.72997
ConcurrentHashTable,48,250000,0.139247
ConcurrentQueue,48,260000,2.45235
LockCoupling,48,260000,3.44813
ConcurrentList,48,260000,1.79003
ConcurrentHashTable,48,260000,0.191728
ConcurrentQueue,48,270000,2.62239
LockCoupling,48,270000,3.59725
ConcurrentList,48,270000,1.86559
ConcurrentHashTable,48,270000,0.213091
ConcurrentQueue,48,280000,2.71017
LockCoupling,48,280000,3.7206
ConcurrentList,48,280000,1.93968
ConcurrentHashTable,48,280000,0.212571
ConcurrentQueue,48,290000,2.82034
LockCoupling,48,290000,3.85303
ConcurrentList,48,290000,2.00147
ConcurrentHashTable,48,290000,0.228588
ConcurrentQueue,48,300000,2.91276
LockCoupling,48,300000,3.98873
ConcurrentList,48,300000,2.07111
ConcurrentHashTable,48,300000,0.234851
ConcurrentQueue,48,310000,3.00708
LockCoupling,48,310000,4.12143
ConcurrentList,48,310000,2.14825
ConcurrentHashTable,48,310000,0.243527
ConcurrentQueue,48,320000,3.1157
LockCoupling,48,320000,4.30348
ConcurrentList,48,320000,2.26027
ConcurrentHashTable,48,320000,0.234729
ConcurrentQueue,48,330000,3.18842
LockCoupling,48,330000,4.96004
ConcurrentList,48,330000,2.29077
ConcurrentHashTable,48,330000,0.180398
ConcurrentQueue,48,340000,3.20719
LockCoupling,48,340000,4.99867
ConcurrentList,48,340000,2.35742
ConcurrentHashTable,48,340000,0.185336
ConcurrentQueue,48,350000,3.30673
LockCoupling,48,350000,5.05293
ConcurrentList,48,350000,2.43772
ConcurrentHashTable,48,350000,0.189713
ConcurrentQueue,48,360000,3.3967
LockCoupling,48,360000,5.20966
ConcurrentList,48,360000,2.48912
ConcurrentHashTable,48,360000,0.200582
ConcurrentQueue,48,370000,3.50007
LockCoupling,48,370000,5.34612
ConcurrentList,48,370000,2.55914
ConcurrentHashTable,48,370000,0.20499
ConcurrentQueue,48,380000,3.58181
LockCoupling,48,380000,5.4376
ConcurrentList,48,380000,2.62932
ConcurrentHashTable,48,380000,0.211033
ConcurrentQueue,48,390000,3.67194
LockCoupling,48,390000,5.62007
ConcurrentList,48,390000,2.70777
ConcurrentHashTable,48,390000,0.216154
ConcurrentQueue,48,400000,3.7777
LockCoupling,48,400000,5.7205
ConcurrentList,48,400000,2.76546
ConcurrentHashTable,48,400000,0.21768
ConcurrentQueue,48,410000,3.87385
LockCoupling,48,410000,5.93681
ConcurrentList,48,410000,2.85167
ConcurrentHashTable,48,410000,0.224585
ConcurrentQueue,48,420000,3.96852
LockCoupling,48,420000,6.02897
ConcurrentList,48,420000,2.91597
ConcurrentHashTable,48,420000,0.228759
ConcurrentQueue,48,430000,4.06269
LockCoupling,48,430000,6.19346
ConcurrentList,48,430000,2.9793
ConcurrentHashTable,48,430000,0.233041
ConcurrentQueue,48,440000,4.14576
LockCoupling,48,440000,6.39235
ConcurrentList,48,440000,3.07714
ConcurrentHashTable,48,440000,0.246742
ConcurrentQueue,48,450000,4.28609
LockCoupling,48,450000,6.44351
ConcurrentList,48,450000,3.15119
ConcurrentHashTable,48,450000,0.252898
ConcurrentQueue,48,460000,4.39684
LockCoupling,48,460000,6.7259
ConcurrentList,48,460000,3.21239
ConcurrentHashTable,48,460000,0.25075
ConcurrentQueue,48,470000,4.42928
LockCoupling,48,470000,6.77789
ConcurrentList,48,470000,3.24081
ConcurrentHashTable,48,470000,0.254947
ConcurrentQueue,48,480000,4.52571
LockCoupling,48,480000,6.95889
ConcurrentList,48,480000,3.37087
ConcurrentHashTable,48,480000,0.26073
ConcurrentQueue,12,10000,0.0239019
LockCoupling,12,10000,0.036272
ConcurrentList,12,10000,0.0176179
ConcurrentHashTable,12,10000,0.00336409
ConcurrentQueue,12,20000,0.0475352
LockCoupling,12,20000,0.069041
ConcurrentList,12,20000,0.035403
ConcurrentHashTable,12,20000,0.00494385
ConcurrentQueue,12,30000,0.0717311
LockCoupling,12,30000,0.102319
ConcurrentList,12,30000,0.0530059
ConcurrentHashTable,12,30000,0.00695992
ConcurrentQueue,12,40000,0.0960488
LockCoupling,12,40000,0.134322
ConcurrentList,12,40000,0.0701389
ConcurrentHashTable,12,40000,0.00977302
ConcurrentQueue,12,50000,0.119621
LockCoupling,12,50000,0.169035
ConcurrentList,12,50000,0.0890801
ConcurrentHashTable,12,50000,0.00995398
ConcurrentQueue,12,60000,0.14441
LockCoupling,12,60000,0.201451
ConcurrentList,12,60000,0.105385
ConcurrentHashTable,12,60000,0.0157418
ConcurrentQueue,12,70000,0.168296
LockCoupling,12,70000,0.232417
ConcurrentList,12,70000,0.122655
ConcurrentHashTable,12,70000,0.01665
ConcurrentQueue,12,80000,0.191996
LockCoupling,12,80000,0.265675
ConcurrentList,12,80000,0.140069
ConcurrentHashTable,12,80000,0.020467
ConcurrentQueue,12,90000,0.216829
LockCoupling,12,90000,0.298856
ConcurrentList,12,90000,0.157096
ConcurrentHashTable,12,90000,0.0227621
ConcurrentQueue,12,100000,0.241873
LockCoupling,12,100000,0.33115
ConcurrentList,12,100000,0.175086
ConcurrentHashTable,12,100000,0.025414
ConcurrentQueue,12,110000,0.263651
LockCoupling,12,110000,0.363261
ConcurrentList,12,110000,0.19307
ConcurrentHashTable,12,110000,0.0250101
ConcurrentQueue,12,120000,0.289171
LockCoupling,12,120000,0.397156
ConcurrentList,12,120000,0.2128
ConcurrentHashTable,12,120000,0.028024
ConcurrentQueue,48,10000,0.0963161
LockCoupling,48,10000,0.142812
ConcurrentList,48,10000,0.0707479
ConcurrentHashTable,48,10000,0.00995803
ConcurrentQueue,48,20000,0.194114
LockCoupling,48,20000,0.276613
ConcurrentList,48,20000,0.139397
ConcurrentHashTable,48,20000,0.019254
ConcurrentQueue,48,30000,0.29171
LockCoupling,48,30000,0.408121
ConcurrentList,48,30000,0.209572
ConcurrentHashTable,48,30000,0.027678
ConcurrentQueue,48,40000,0.388908
LockCoupling,48,40000,0.54237
ConcurrentList,48,40000,0.278725
ConcurrentHashTable,48,40000,0.0367939
ConcurrentQueue,48,50000,0.485931
LockCoupling,48,50000,0.672171
ConcurrentList,48,50000,0.352416
ConcurrentHashTable,48,50000,0.0427971
ConcurrentQueue,48,60000,0.583265
LockCoupling,48,60000,0.806731
ConcurrentList,48,60000,0.417098
ConcurrentHashTable,48,60000,0.052464
ConcurrentQueue,48,70000,0.682036
LockCoupling,48,70000,0.937826
ConcurrentList,48,70000,0.488491
ConcurrentHashTable,48,70000,0.0596418
ConcurrentQueue,48,80000,0.778438
LockCoupling,48,80000,1.07032
ConcurrentList,48,80000,0.555986
ConcurrentHashTable,48,80000,0.067085
ConcurrentQueue,48,90000,0.876868
LockCoupling,48,90000,1.20042
ConcurrentList,48,90000,0.625194
ConcurrentHashTable,48,90000,0.0756421
ConcurrentQueue,48,100000,0.981479
LockCoupling,48,100000,1.34008
ConcurrentList,48,100000,0.696669
ConcurrentHashTable,48,100000,0.0833859
ConcurrentQueue,48,110000,1.07772
LockCoupling,48,110000,1.46492
ConcurrentList,48,110000,0.765339
ConcurrentHashTable,48,110000,0.092648
ConcurrentQueue,48,120000,1.17246
LockCoupling,48,120000,1.60211
ConcurrentList,48,120000,0.834176
ConcurrentHashTable,48,120000,0.0991609
ConcurrentQueue,48,130000,1.27026
LockCoupling,48,130000,1.73275
ConcurrentList,48,130000,0.903762
