type,threadCount,insertCount,time,treshold
ApproximateCounter,48,48000000,0.88438,64
ApproximateCounter,48,48000000,0.834387,128
ApproximateCounter,48,48000000,0.777606,256
ApproximateCounter,48,48000000,0.710152,512
ApproximateCounter,48,48000000,0.736464,1024
ApproximateCounter,48,48000000,0.719512,2048
ApproximateCounter,48,48000000,0.75138,4096
ApproximateCounter,48,48000000,0.674801,8192
ApproximateCounter,48,48000000,0.696802,16384
ApproximateCounter,48,48000000,0.709072,32768
ApproximateCounter,48,48000000,0.665176,65536
ApproximateCounter,48,48000000,0.704223,131072
ApproximateCounter,48,48000000,0.769987,262144
ApproximateCounter,48,48000000,0.763135,524288
ApproximateCounter,48,48000000,0.71871,1048576
ApproximateCounter,48,48000000,0.698543,2097152
ApproximateCounter,48,48000000,0.672794,4194304
ApproximateCounter,48,48000000,0.66655,8388608
ApproximateCounter,48,48000000,0.689936,16777216
ApproximateCounter,48,48000000,0.653693,33554432
ApproximateCounter,48,48000000,0.691377,67108864
ApproximateCounter,48,48000000,0.724128,134217728
ApproximateCounter,48,48000000,0.680953,268435456
ApproximateCounter,48,48000000,0.683106,536870912
ApproximateCounter,48,48000000,0.711166,1073741824
ConcurrentQueue,48,1000000,0.403462,0
ConcurrentQueue,48,2000000,0.371637,0
ConcurrentQueue,48,3000000,0.543522,0
ConcurrentQueue,48,4000000,0.724283,0
ConcurrentQueue,48,5000000,0.902394,0
ConcurrentQueue,48,6000000,1.07941,0
ConcurrentQueue,48,7000000,1.25156,0
ConcurrentQueue,48,8000000,1.42182,0
ConcurrentQueue,48,9000000,1.58461,0
ConcurrentQueue,48,10000000,1.78774,0
ConcurrentQueue,48,11000000,1.99229,0
ConcurrentQueue,48,12000000,2.1683,0
ConcurrentQueue,48,13000000,2.32942,0
ConcurrentQueue,48,14000000,2.52676,0
ConcurrentQueue,48,15000000,2.66393,0
ConcurrentQueue,48,16000000,2.86839,0
ConcurrentQueue,48,17000000,3.04472,0
ConcurrentQueue,48,18000000,3.26303,0
ConcurrentQueue,48,19000000,3.39631,0
ConcurrentQueue,48,20000000,3.56746,0
ConcurrentQueue,48,21000000,3.69628,0
ConcurrentQueue,48,22000000,3.90633,0
ConcurrentQueue,48,23000000,4.11158,0
ConcurrentQueue,48,24000000,4.30589,0
ConcurrentQueue,48,25000000,4.47406,0
ConcurrentQueue,48,26000000,4.66082,0
ConcurrentQueue,48,27000000,4.7233,0
ConcurrentQueue,48,28000000,4.89354,0
ConcurrentQueue,48,29000000,5.10061,0
ConcurrentQueue,48,30000000,5.29105,0
ConcurrentQueue,48,31000000,5.45482,0
ConcurrentQueue,48,32000000,5.61549,0
ConcurrentQueue,48,33000000,5.74798,0
ConcurrentQueue,48,34000000,5.92822,0
