type, threadCount, insertCount, time, threshold
ApproximateCounter,7,7000000,0.334756,1024
LockCounter,8,8000000,0.697212,0
ApproximateCounter,8,8000000,0.343095,1024
LockCounter,9,9000000,0.829858,0
ApproximateCounter,9,9000000,0.378375,1024
LockCounter,10,10000000,0.920119,0
ApproximateCounter,10,10000000,0.383441,1024
LockCounter,11,11000000,1.00449,0
ApproximateCounter,11,11000000,0.417302,1024
LockCounter,12,12000000,1.08703,0
ApproximateCounter,12,12000000,0.415479,1024
LockCounter,13,13000000,1.17639,0
ApproximateCounter,13,13000000,0.432673,1024
LockCounter,14,14000000,1.26647,0
ApproximateCounter,14,14000000,0.438165,1024
LockCounter,15,15000000,1.35366,0
ApproximateCounter,15,15000000,0.441091,1024
LockCounter,16,16000000,1.44296,0
ApproximateCounter,16,16000000,0.468137,1024
LockCounter,17,17000000,1.52998,0
ApproximateCounter,17,17000000,0.498395,1024
LockCounter,18,18000000,1.61897,0
ApproximateCounter,18,18000000,0.536514,1024
LockCounter,19,19000000,1.70526,0
ApproximateCounter,19,19000000,0.504901,1024
LockCounter,20,20000000,1.78784,0
ApproximateCounter,20,20000000,0.522108,1024
LockCounter,21,21000000,1.87493,0
ApproximateCounter,21,21000000,0.533394,1024
LockCounter,22,22000000,1.96522,0
ApproximateCounter,22,22000000,0.581691,1024
LockCounter,23,23000000,2.04879,0
ApproximateCounter,23,23000000,0.561353,1024
LockCounter,24,24000000,2.14069,0
ApproximateCounter,24,24000000,0.611693,1024
LockCounter,25,25000000,2.22644,0
ApproximateCounter,25,25000000,0.616108,1024
LockCounter,26,26000000,2.31358,0
ApproximateCounter,26,26000000,0.61689,1024
LockCounter,27,27000000,2.40259,0
ApproximateCounter,27,27000000,0.646854,1024
LockCounter,28,28000000,2.49024,0
ApproximateCounter,28,28000000,0.647787,1024
LockCounter,29,29000000,2.58647,0
ApproximateCounter,29,29000000,0.653756,1024
LockCounter,30,30000000,2.66922,0
ApproximateCounter,30,30000000,0.662887,1024
LockCounter,31,31000000,2.75567,0
ApproximateCounter,31,31000000,0.647886,1024
LockCounter,32,32000000,2.85337,0
ApproximateCounter,32,32000000,0.67537,1024
LockCounter,33,33000000,2.94255,0
ApproximateCounter,33,33000000,0.664475,1024
LockCounter,34,34000000,3.02668,0
ApproximateCounter,34,34000000,0.719824,1024
LockCounter,35,35000000,3.12773,0
ApproximateCounter,35,35000000,0.695497,1024
LockCounter,36,36000000,3.20958,0
ApproximateCounter,36,36000000,0.722258,1024
LockCounter,37,37000000,3.30627,0
ApproximateCounter,37,37000000,0.760439,1024
LockCounter,38,38000000,3.38348,0
ApproximateCounter,38,38000000,0.749803,1024
LockCounter,39,39000000,3.47972,0
ApproximateCounter,39,39000000,0.772159,1024
LockCounter,40,40000000,3.567,0
ApproximateCounter,40,40000000,0.760852,1024
LockCounter,41,41000000,3.6692,0
ApproximateCounter,41,41000000,0.73772,1024
LockCounter,42,42000000,3.75999,0
ApproximateCounter,42,42000000,0.748039,1024
LockCounter,43,43000000,3.8341,0
ApproximateCounter,43,43000000,0.77124,1024
LockCounter,44,44000000,3.92485,0
ApproximateCounter,44,44000000,0.779508,1024
LockCounter,45,45000000,4.01316,0
ApproximateCounter,45,45000000,0.828123,1024
LockCounter,46,46000000,4.09956,0
ApproximateCounter,46,46000000,0.770861,1024
LockCounter,47,47000000,4.1993,0
ApproximateCounter,47,47000000,0.841007,1024
LockCounter,48,48000000,4.2838,0
ApproximateCounter,48,48000000,0.844106,1024
